fuente,chequeo,resultado,severidad
RBL,esquema_2018,"{'archivo_muestra': 'agosto-2018-rbl-residuos.csv', 'n_archivos_anio': 13, 'columnas_muestra': ['ASE y Concesionario', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (toneladas/mes)', 'Actividades Complementarias  - Voluminosos', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (toneladas/mes)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)']}",info
RBL,esquema_2019,"{'archivo_muestra': 'agosto-2019-rbl-residuos.csv', 'n_archivos_anio': 9, 'columnas_muestra': ['Ano/Mes Formato (dd-mmm-yy)', 'ASE y Concesionario', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Residuos de Recogidos de Corte Csped (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (toneladas/mes)', 'Residuos Domiciliarios especiales', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)']}",info
RBL,esquema_2020,"{'archivo_muestra': '2015-2020-rbl-residuos-.csv', 'n_archivos_anio': 5, 'columnas_muestra': ['ao', 'Residuos Recogidos Domiciliarios (t/ao)', 'Residuos de Recogidos de Barrido (t/ao)', 'Residuos de Recogidos de Corte Csped (t/ao)', 'Residuos de Recogidos de Grandes Generadores (t/ao)', 'Residuos Domiciliarios especiales', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/ao)', 'Residuos de Recogidos de Poda rboles (t/ao)', 'Total Residuos Recogidos (t/ao)']}",info
RBL,esquema_2021,"{'archivo_muestra': 'data-set-abril.xlsx', 'n_archivos_anio': 9, 'columnas_muestra': ['Ano/Mes Formato (dd-mmm-yy)', 'Area de Servicio Exclusivo y Concesionario', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (toneladas /mes)', 'Residuos Domiciliarios especiales', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)']}",info
RBL,esquema_2022,"{'archivo_muestra': 'data-set-abril-2022.xlsx', 'n_archivos_anio': 11, 'columnas_muestra': ['Ano/Mes Formato (dd-mmm-yy)', 'Area de Servicio Exclusivo y Concesionario', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (toneladas /mes)', 'Residuos Domiciliarios especiales', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)']}",info
RBL,esquema_2023,"{'archivo_muestra': 'data-set-abril-2023.xlsx', 'n_archivos_anio': 10, 'columnas_muestra': ['Año/Mes Formato (dd-mmm-yy)', 'ASE y Concesionario', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Domiciliarios especiales', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de arrojo clandestino en punto limpio', 'Residuos de Recogidos de Poda Árboles (t/mes)', 'Total Residuos Recogidos (t/mes)', 'Total Residuos Recogidos (t/mes) + Total residuos de arrojo clandestino en Punto Limpio']}",info
RBL,esquema_2024,"{'archivo_muestra': 'data-set-abril-2024.xlsx', 'n_archivos_anio': 12, 'columnas_muestra': ['Año/Mes Formato (dd-mmm-yy)', 'ASE y Concesionario', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Domiciliarios especiales', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de arrojo clandestino en punto limpio', 'Residuos de Recogidos de Poda Árboles (t/mes)', 'Total Residuos Recogidos (t/mes)']}",info
RBL,esquema_2025,"{'archivo_muestra': 'data-set-abril-2025-srbl.xlsx', 'n_archivos_anio': 12, 'columnas_muestra': ['Año/Mes Formato (dd-mmm-yy)', 'ASE y Concesionario', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Domiciliarios especiales', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de Recogidos de Poda Árboles (t/mes)', 'Total Residuos Recogidos (t/mes)']}",info
RBL,esquema_2026,"{'archivo_muestra': 'data-_set_abril_2026_srbl.xlsx', 'n_archivos_anio': 5, 'columnas_muestra': ['Año/Mes Formato (dd-mmm-yy)', 'ASE y Concesionario', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Domiciliarios especiales', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Residuos de Recogidos de Poda Árboles (t/mes)', 'Total Residuos Recogidos (t/mes)']}",info
RBL,diferencia_esquema_2017_vs_2018,"['Residuos de Recogidos de Poda rboles (t/mes)', 'ASE y Concesionario', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (toneladas/mes)', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Operador y Zona', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Actividades Complementarias  - Voluminosos', 'Total Residuos Recogidos (toneladas/mes)', 'Total Residuos Recogidos (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (toneladas/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)']",warning
RBL,diferencia_esquema_2017_vs_2019,"['Operador y Zona', 'Residuos de Recogidos de Corte Csped (toneladas/mes)', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)', 'Total Residuos Recogidos (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)', 'ASE y Concesionario', 'Residuos Domiciliarios especiales', 'Residuos de Recogidos de Grandes Generadores (toneladas/mes)', 'Ano/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (t/mes)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)']",warning
RBL,diferencia_esquema_2017_vs_2020,"['Residuos de Recogidos de Poda rboles (t/mes)', 'Residuos Domiciliarios especiales', 'Operador y Zona', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)', 'Residuos de Recogidos de Barrido (t/ao)', 'Residuos de Recogidos de Corte Csped (t/ao)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos Recogidos Domiciliarios (t/mes)', 'ao', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Poda rboles (t/ao)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/ao)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Recogidos Domiciliarios (t/ao)', 'Residuos de Recogidos de Grandes Generadores (t/ao)', 'Total Residuos Recogidos (t/mes)', 'Total Residuos Recogidos (t/ao)']",warning
RBL,diferencia_esquema_2017_vs_2021,"['Operador y Zona', 'Residuos de Recogidos de Grandes Generadores (toneladas /mes)', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Area de Servicio Exclusivo y Concesionario', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)', 'Total Residuos Recogidos (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos Domiciliarios especiales', 'Ano/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (t/mes)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)']",warning
RBL,diferencia_esquema_2017_vs_2022,"['Operador y Zona', 'Residuos de Recogidos de Grandes Generadores (toneladas /mes)', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Residuos de Recogidos de Poda arboles (toneladas/mes)', 'Area de Servicio Exclusivo y Concesionario', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos Recogidos Domiciliarios (toneladas/mes)', 'Total Residuos Recogidos (toneladas/mes)', 'Total Residuos Recogidos (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)', 'Residuos de Recogidos de Corte Cesped (toneladas/mes)', 'Residuos Domiciliarios especiales', 'Ano/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (t/mes)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Barrido (toneladas/mes)', 'Recoleccion de Arrojo Clandestino (Atencion criticos clandestinos y otros1077, recoleccion residuos voluminosos, residuos clandestinos indisciplinados)']",warning
RBL,diferencia_esquema_2017_vs_2023,"['Residuos de Recogidos de Poda Árboles (t/mes)', 'ASE y Concesionario', 'Residuos Domiciliarios especiales', 'Total Residuos Recogidos (t/mes) + Total residuos de arrojo clandestino en Punto Limpio', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Año/Mes Formato (dd-mmm-yy)', 'Operador y Zona', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de arrojo clandestino en punto limpio', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)']",warning
RBL,diferencia_esquema_2017_vs_2024,"['Residuos de Recogidos de Poda Árboles (t/mes)', 'ASE y Concesionario', 'Residuos Domiciliarios especiales', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Año/Mes Formato (dd-mmm-yy)', 'Operador y Zona', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de arrojo clandestino en punto limpio', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)']",warning
RBL,diferencia_esquema_2017_vs_2025,"['Residuos de Recogidos de Poda Árboles (t/mes)', 'ASE y Concesionario', 'Residuos Domiciliarios especiales', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Año/Mes Formato (dd-mmm-yy)', 'Operador y Zona', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)']",warning
RBL,diferencia_esquema_2017_vs_2026,"['Residuos de Recogidos de Poda Árboles (t/mes)', 'ASE y Concesionario', 'Residuos Domiciliarios especiales', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Año/Mes Formato (dd-mmm-yy)', 'Operador y Zona', 'Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados)', 'Ao/Mes Formato (dd-mmm-yy)', 'Residuos de Recogidos de Corte Césped (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)']",warning
UAECOB,n_columnas_2016,33,info
UAECOB,duplicados_muestra_2016,1,warning
UAECOB,n_columnas_2017,33,info
UAECOB,duplicados_muestra_2017,1,warning
UAECOB,n_columnas_2018,35,info
UAECOB,duplicados_muestra_2018,0,ok
UAECOB,n_columnas_2019,42,info
UAECOB,duplicados_muestra_2019,1,warning
UAECOB,n_columnas_2020,42,info
UAECOB,duplicados_muestra_2020,0,ok
UAECOB,diferencia_esquema_2016_vs_2018,"['HERIDOS HOMBRES', 'HERIDOS MENORES', 'HERIDOS MUJERES', 'HOMBRES AFECTADOS', 'HOMBRES EXPUESTOS', 'HOMBRES HERIDOS', 'HOMBRES RESCATADOS', 'HOMBRES SIN SIGNOS', 'Hora reporte', 'MENORES AFECTADOS', 'MENORES EXPUESTOS', 'MENORES HERIDOS', 'MENORES RESCATADOS', 'MENORES SIN SIGNOS', 'MUJERES AFECTADAS', 'MUJERES EXPUESTAS', 'MUJERES HERIDAS', 'MUJERES RESCATADAS', 'MUJERES SIN SIGNOS', 'NUMERO SERVICIO', 'POBLA. AFEC.HOMBRES', 'POBLA. AFEC.MENORES', 'POBLA. AFEC.MUJERES', 'POBLA. EXPU.HOMBRES', 'POBLA. EXPU.MENORES', 'POBLA. EXPU.MUJERES', 'RESCA.HOMBRES', 'RESCA.MENORES', 'RESCA.MUJERES', 'SIN SIGNOSHOMBRES', 'SIN SIGNOSMENORES', 'SIN SIGNOSMUJERES']",warning
UAECOB,diferencia_esquema_2016_vs_2019,"['ESTACION', 'ESTACIÓN', 'LATITUD', 'LONGITUD', 'MENORES AFECTADOS', 'MENORES EXPUESTOS', 'MENORES HERIDOS', 'MENORES NIÑAS AFECTADAS', 'MENORES NIÑAS EXPUESTAS', 'MENORES NIÑAS HERIDAS', 'MENORES NIÑAS RESCATADAS', 'MENORES NIÑAS SIN SIGNOS', 'MENORES NIÑOS AFECTADOS', 'MENORES NIÑOS EXPUESTOS', 'MENORES NIÑOS HERIDOS', 'MENORES NIÑOS RESCATADOS', 'MENORES NIÑOS SIN SIGNOS', 'MENORES RESCATADOS', 'MENORES SIN SIGNOS', 'NUMERO SERVICIO', 'NÚMERO SERVICIO']",warning
Esoc.csv,n_registros,2988992,info
Esoc.csv,ESoCLote_duplicados,2063250,warning
Esoc.csv,estrato_fuera_de_rango_0_6,0,ok
Esoc.csv,distribucion_estrato,"{0: 957149, 1: 144690, 2: 639149, 3: 716007, 4: 341568, 5: 107881, 6: 82548}",info
manzanaestratificacion.json,n_registros,44260,info
manzanaestratificacion.json,tipo_geometria,"['Polygon', 'MultiPolygon']",info
manzanaestratificacion.json,crs,PCS_CarMAGBOG,info
manzanaestratificacion.json,crs_es_local_no_estandar,"Sí -- PCS_CarMAGBOG (proyección cartesiana local de Bogotá, no un EPSG con nombre estándar; pyproj sí puede reproyectarla desde el WKT completo)",warning
manzanaestratificacion.json,geometrias_invalidas,3/44260 (0.01%),warning
manzanaestratificacion.json,geometrias_nulas,0,ok
manzanaestratificacion.json,filas_duplicadas_por_atributos,0,ok
manzanaestratificacion.json,estrato_fuera_de_rango_0_6,0,ok
manzanaestratificacion.json,estrato_0_o_nulo_sin_estratificar,"5110/44260 (11.5%) -- manzanas comerciales/industriales/institucionales, correctamente excluidas en Silver",info
manzanaestratificacion.json,CODIGO_MANZANA_duplicados,0,ok
manzanaestratificacion.json,cobertura_temporal_captura,2025-10-29 00:00:00+00:00 a 2025-10-29 00:00:00+00:00,info
