archivo,fuente_declarada,entidad,enlace_portal,extension,tamano_mb,carpeta_anio,n_filas,n_columnas,crs_epsg,tipo_geometria,columnas
IRLoc.geojson,Mapa de Referencia — localidades,IDECA,https://datosabiertos.bogota.gov.co/dataset/mapa-de-referencia,.geojson,2.23,,21.0,104,EPSG:4686,Polygon,CMIULOCAL;CMNOMLOCAL;CMMES;CMR18CONT;CMR19CONT;CMR20CONT;CMRVAR;CMRTOTAL;CMN18CONT;CMN19CONT;CMN20CONT;CMNVAR;CMNTOTAL;CMAOP18CON;CMAOP19CON;CMAOP20CON;CMAOPVAR;CMAOPTOTAL;CMMM18CONT;CMMM19CONT;CMMM20CONT;CMMMVAR;CMMMTOTAL;CMR21CONT;CMN21CONT;CMAOP21CON;CMMM21CONT;CMR22CONT;CMN22CONT;CMAOP22CON;CMMM22CONT;CMR23CONT;CMN23CONT;CMAOP23CON;CMMM23CONT;CMM18CONT;CMM19CONT;CMM20CONT;CMM21CONT;CMM22CONT;CMM23CONT;CMMVAR;CMMTOTAL;CMR24CONT;CMN24CONT;CMAOP24CON;CMMM24CONT;CMM24CONT;CMR25CONT;CMN25CONT;CMAOP25CON;CMMM25CONT;CMM25CONT;CMD18CONT;CMD19CONT;CMD20CONT;CMD21CONT;CMD22CONT;CMD23CONT;CMD24CONT;CMD25CONT;CMDVAR;CMDTOTAL;CMPIA18CON;CMPIA19CON;CMPIA20CON;CMPIA21CON;CMPIA22CON;CMPIA23CON;CMPIA24CON;CMPIA25CON;CMPIAVAR;CMPIATOTAL;CMH18CONT;CMH19CONT;CMH20CONT;CMH21CONT;CMH22CONT;CMH23CONT;CMH24CONT;CMH25CONT;CMHVAR;CMHTOTAL;CMHC18CONT;CMHC19CONT;CMHC20CONT;CMHC21CONT;CMHC22CONT;CMHC23CONT;CMHC24CONT;CMHC25CONT;CMHCVAR;CMHCTOTAL;CMR26CONT;CMN26CONT;CMAOP26CON;CMMM26CONT;CMM26CONT;CMD26CONT;CMPIA26CON;CMH26CONT;CMHC26CONT;SHAPE_AREA;SHAPE_LEN
incidentes-atendidos-por-uaecob-2016.csv,Incidente atendido por bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/incidente-atendido-por-bomberos,.csv,7.282,,,33,,,FECHA DEL EVENTO;ESTACION;BARRIO;ESTRATO;UPZ;LOCALIDAD;Tiempo de Respuesta;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;POBLA. EXPU.HOMBRES;POBLA. EXPU.MUJERES;POBLA. EXPU.MENORES;POBLA. AFEC.HOMBRES;POBLA. AFEC.MUJERES;POBLA. AFEC.MENORES;RESCA.HOMBRES;RESCA.MUJERES;RESCA.MENORES;HERIDOS HOMBRES;HERIDOS MUJERES;HERIDOS MENORES;SIN SIGNOSHOMBRES;SIN SIGNOSMUJERES;SIN SIGNOSMENORES
IRUPZ.geojson,Mapa de Referencia — UPZ,IDECA,https://datosabiertos.bogota.gov.co/dataset/mapa-de-referencia,.geojson,3.432,,117.0,104,EPSG:4686,Unknown,CMIUUPLA;CMNOMUPLA;CMMES;CMR18CONT;CMR19CONT;CMR20CONT;CMRVAR;CMRTOTAL;CMN18CONT;CMN19CONT;CMN20CONT;CMNVAR;CMNTOTAL;CMAOP18CON;CMAOP19CON;CMAOP20CON;CMAOPVAR;CMAOPTOTAL;CMMM18CONT;CMMM19CONT;CMMM20CONT;CMMMVAR;CMMMTOTAL;CMR21CONT;CMN21CONT;CMAOP21CON;CMMM21CONT;CMR22CONT;CMN22CONT;CMAOP22CON;CMMM22CONT;CMR23CONT;CMN23CONT;CMAOP23CON;CMMM23CONT;CMM18CONT;CMM19CONT;CMM20CONT;CMM21CONT;CMM22CONT;CMM23CONT;CMMVAR;CMMTOTAL;CMR24CONT;CMN24CONT;CMAOP24CON;CMMM24CONT;CMM24CONT;CMR25CONT;CMN25CONT;CMAOP25CON;CMMM25CONT;CMM25CONT;CMD18CONT;CMD19CONT;CMD20CONT;CMD21CONT;CMD22CONT;CMD23CONT;CMD24CONT;CMD25CONT;CMDVAR;CMDTOTAL;CMPIA18CON;CMPIA19CON;CMPIA20CON;CMPIA21CON;CMPIA22CON;CMPIA23CON;CMPIA24CON;CMPIA25CON;CMPIAVAR;CMPIATOTAL;CMH18CONT;CMH19CONT;CMH20CONT;CMH21CONT;CMH22CONT;CMH23CONT;CMH24CONT;CMH25CONT;CMHVAR;CMHTOTAL;CMHC18CONT;CMHC19CONT;CMHC20CONT;CMHC21CONT;CMHC22CONT;CMHC23CONT;CMHC24CONT;CMHC25CONT;CMHCVAR;CMHCTOTAL;CMR26CONT;CMN26CONT;CMAOP26CON;CMMM26CONT;CMM26CONT;CMD26CONT;CMPIA26CON;CMH26CONT;CMHC26CONT;SHAPE_AREA;SHAPE_LEN
manzanaestratificacion.json,"Estratificación para Bogotá (manzana) — 14ª fuente, incorporada tras el proxy",Secretaría Distrital de Planeación,https://datosabiertos.bogota.gov.co/dataset/estratificacion-para-bogota,.json,79.438,,44260.0,14,"PROJCS[""PCS_CarMAGBOG"",GEOGCS[""GCS_CarMAGBOG"",DATUM[""CGS_CarMAGBOG"",SPHEROID[""GRS80 Mod"",6380687,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",4.680486111],PARAMETER[""central_meridian"",-74.14659167],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",92334.879],PARAMETER[""false_northing"",109320.965],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",Polygon,OBJECTID;CODIGO_MANZANA;ESTRATO;CODIGO_ZONA_ESTRATO;CODIGO_CRITERIO;NORMATIVA;ACTO_ADMINISTRATIVO;NUMERO_ACTO_ADMINISTRATIVO;FECHA_ACTO_ADMINISTRATIVO;ESCALA_CAPTURA;FECHA_CAPTURA;RESPONSABLE;Shape_Length;Shape_Area
Esoc.csv,Estrato socioeconómico,Secretaría Distrital de Planeación / IDECA,https://datosabiertos.bogota.gov.co/dataset/estrato-socioeconomico-bogota-d-c,.csv,76.964,,,3,,,ESoCLote;ESoChip;ESoEstrato
macrorutas_de_barrido.geojson,Macrorutas de barrido,UAESP,https://datosabiertos.bogota.gov.co/dataset/macrorutas-de-barrido-bogota-d-c,.geojson,33.782,,179.0,9,EPSG:4326,MultiPolygon,GmlID;OBJECTID;Fecha_inicio_vigencia;Nombre_Localidad;Hora_fin_Recolección;Hora_Inicio_Recolección;Identificador_Frecuencia;SHAPE.AREA;SHAPE.LEN
indicadores-urbanos-habitat-en-cifras-en-las-localidades.xlsx,Hábitat en cifras — indicadores urbanos,Secretaría Distrital del Hábitat,https://datosabiertos.bogota.gov.co/dataset/habitat-en-cifras-en-las-localidades-indicadores-urbanos,.xlsx,0.024,,,6,,,categoria;indicador;año;localidad;valor;fuente
2017/data_set_noviembre_2017_rbl.csv,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.csv,0.001,2017,,9,,,NOVIEMBRE 2017;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
2024/data-set-enero-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.014,2024,,11,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de arrojo clandestino en punto limpio;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-octubre-2024rbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-noviembre-2024rbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-mayo-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,´MAYO 2024;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
2024/data-set-julio-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-abril-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.015,2024,,11,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de arrojo clandestino en punto limpio;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-marzo-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.014,2024,,11,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de arrojo clandestino en punto limpio;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-diciembre-2024rbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,DICIEMBRE 2024;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
2024/data-set-septiembre-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,SEPTIEMBRE 2024;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
2024/data-set-agosto-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-junio-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2024,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2024/data-set-febrero-2024.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.014,2024,,11,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de arrojo clandestino en punto limpio;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2026/data-_set_mayo_2026_srbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.011,2026,,10,,,MAYO 2026_FUENTE SUBDIRECCION DE DISPOSICION FINAL  UAESP  - INTER DJ  Radicado UAESP ;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
2026/data-_set_feb_2026_srbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.012,2026,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2026/data-_set_marzo_2026_srbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.01,2026,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2026/data-_set_abril_2026_srbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.012,2026,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
2026/data-_set_enero_2026_srbl.xlsx,Datos de residuos recogidos (RBL),UAESP,https://datosabiertos.bogota.gov.co/dataset/datos-residuos-recogidos-rbl-uaesp,.xlsx,0.012,2026,,10,,,"Año/Mes Formato (dd-mmm-yy);ASE y Concesionario;Residuos Recogidos Domiciliarios (t/mes) ;Residuos de Recogidos de Barrido (t/mes) ;Residuos de Recogidos de Corte Césped (t/mes) ;Residuos de Recogidos de Grandes Generadores (t/mes) ;Residuos Domiciliarios especiales;Recolección de Arrojo Clandestino (Atención críticos clandestinos y otros1077, recolección residuos voluminosos, residuos clandestinos indisciplinados) ;Residuos de Recogidos de Poda Árboles (t/mes) ;Total Residuos Recogidos (t/mes) "
